name,lat,long
London,51.5072,-0.1275
Berlin,52.5167,13.3833
Paris,48.8567,2.3508
Rome,41.9000,12.5000
Oslo,59.9500,10.7500
Ankara,39.9333,32.8667
Moscow,55.7500,37.6167
Reykjavik,64.1333,-21.9333
Nuuk,64.1750,-51.7389
Labrador city,52.9500,-66.9167
Iqualuit,63.7486,-68.5197
Vancouver,49.2827,-123.1207
Yellowknife,62.4422,-114.3975
Anchorage,61.2167,-149.9000
New York City,40.7127,-74.0059
Miami,25.7753,-80.2089
Chicago,41.8369,-87.6847
Denver,39.7392,-104.9903
Los Angeles,34.0500,118.2500
Dallas,32.7767,-96.7970
Mexico city,19.4333,-99.1333
Bogota,4.5981,-74.0758
Caracas,10.5000,-66.9167
Lima,-12.0433,-77.0283
Kourou,5.1597,-52.6503
Salvador,-12.9747,-38.4767
Brasilia,-15.7939,-47.8828
Rio de Janeiro,-22.9068,-43.1729
Santa cruz de la Siera,-17.8000,-63.1833
Asuncion,-25.2667,-57.6333
Santiago,-33.4500,-70.6667
Punta Arenas,-53.1667,-70.9333
Bahia Blanca,-38.7167,-62.2667
